SSC,date
0.4983521574,2018-10-02
0.569861768,2018-10-02
0.5193178154,2018-10-02
0.6173081211,2018-10-07
0.5390954436,2018-10-07
0.5988740688,2018-10-07
0.5616349612,2018-10-07
0.6232712784,2018-10-12
0.5489440449,2018-10-12
0.5986879974,2018-10-12
0.5648032743,2018-10-12
0.6517085861,2018-10-17
0.6161746353,2018-10-17
0.6389615007,2018-10-17
0.6345479862,2018-10-17
0.6644714713,2018-10-22
0.6378523041,2018-10-22
0.6404537667,2018-10-22
0.6493479835,2018-10-22
0.7818267061,2018-10-27
0.7785561022,2018-10-27
0.783953319,2018-10-27
0.7809812486,2018-10-27
0.8106166884,2018-11-01
0.8172140441,2018-11-01
0.816309076,2018-11-01
0.7898654654,2018-11-01
0.6482475183,2018-11-06
0.6655242333,2018-11-06
0.6497958465,2018-11-06
0.6567662427,2018-11-06
0.729090902,2018-11-11
0.8180976951,2018-11-11
0.7575764452,2018-11-11
0.8109252657,2018-11-11
0.6417620718,2018-11-16
0.7031388352,2018-11-16
0.6542511006,2018-11-16
0.6822057292,2018-11-16
0.6868356448,2018-11-21
0.7481125441,2018-11-21
0.7138932204,2018-11-21
0.7251405729,2018-11-21
0.6743235697,2018-11-26
0.7485013001,2018-11-26
0.7140674764,2018-11-26
0.7292134567,2018-11-26
0.642692977,2018-12-01
0.7161631915,2018-12-01
0.6928592803,2018-12-01
0.6941311022,2018-12-01
0.7180175662,2018-12-06
0.7434218397,2018-12-06
0.794238413,2018-12-06
0.7167621722,2018-12-06
0.8943168573,2018-12-11
0.9131173939,2018-12-11
0.9689853865,2018-12-11
0.8866601578,2018-12-11
0.6051787447,2018-12-16
0.618121695,2018-12-16
0.6950494696,2018-12-16
0.6008361988,2018-12-16
0.6487513589,2018-12-21
0.6443038909,2018-12-21
0.7481534761,2018-12-21
0.6265007563,2018-12-21
0.6426267941,2018-12-26
0.6175606977,2018-12-26
0.7548726579,2018-12-26
0.6049648039,2018-12-26
0.657139725,2018-12-31
0.6161648845,2018-12-31
0.7654248396,2018-12-31
0.5940927842,2018-12-31
0.7414230409,2019-01-05
0.7382767981,2019-01-05
0.8409103501,2019-01-05
0.7155568249,2019-01-05
0.6257039235,2019-01-10
0.581444338,2019-01-10
0.730360596,2019-01-10
0.5853029019,2019-01-10
0.8082428625,2019-01-15
0.7821342395,2019-01-15
0.8475754645,2019-01-15
0.7569127839,2019-01-15
0.6338033615,2019-01-20
0.5659714453,2019-01-20
0.7645766261,2019-01-20
0.5485264921,2019-01-20
0.7229853596,2019-01-25
0.6759297384,2019-01-25
0.7617717774,2019-01-25
0.6465783749,2019-01-25
0.6489593472,2019-01-30
0.6077011753,2019-01-30
0.7670960677,2019-01-30
0.6006346916,2019-01-30
0.7834573993,2019-02-04
0.7215545921,2019-02-04
0.7267166765,2019-02-04
0.6293079378,2019-02-04
0.5447311983,2019-02-09
0.4466899805,2019-02-09
0.654143925,2019-02-09
0.4323974035,2019-02-09
0.9853980678,2019-02-14
0.9768933937,2019-02-14
0.9861163127,2019-02-14
0.9764181683,2019-02-14
0.6795938788,2019-02-19
0.8058197424,2019-02-19
0.7956744702,2019-02-19
0.8130101848,2019-02-19
0.5593595167,2019-02-24
0.4391966784,2019-02-24
0.6698363829,2019-02-24
0.4596123563,2019-02-24
0.5429654318,2019-03-01
0.4275309081,2019-03-01
0.636386605,2019-03-01
0.41838844,2019-03-01
0.5567068209,2019-03-06
0.4348506758,2019-03-06
0.6450416723,2019-03-06
0.4276732647,2019-03-06
0.6272143667,2019-03-11
0.5093867449,2019-03-11
0.704049394,2019-03-11
0.509742456,2019-03-11
0.5815044295,2019-03-16
0.4673186524,2019-03-16
0.6465734657,2019-03-16
0.4601159608,2019-03-16
0.6404795215,2019-03-21
0.5494399236,2019-03-21
0.7126900194,2019-03-21
0.5393415564,2019-03-21
0.6057769866,2019-03-26
0.4850979986,2019-03-26
0.6502622334,2019-03-26
0.4836140139,2019-03-26
0.6184812532,2019-03-31
0.5123008737,2019-03-31
0.6509545423,2019-03-31
0.5107238785,2019-03-31
0.707945298,2019-04-05
0.6378665567,2019-04-05
0.7186922246,2019-04-05
0.6372518986,2019-04-05
0.7119418532,2019-04-10
0.6700628492,2019-04-10
0.6911751323,2019-04-10
0.6651602171,2019-04-10
0.7197510992,2019-04-15
0.6983921018,2019-04-15
0.6883934474,2019-04-15
0.6928373657,2019-04-15
0.7340473126,2019-04-20
0.745070534,2019-04-20
0.7106220421,2019-04-20
0.7540794298,2019-04-20
0.7798477299,2019-04-25
0.7809549009,2019-04-25
0.7556253383,2019-04-25
0.7768285178,2019-04-25
0.7586284696,2019-04-30
0.7638839808,2019-04-30
0.7256210326,2019-04-30
0.7557108605,2019-04-30
0.7183574358,2019-05-05
0.7322093231,2019-05-05
0.6775348964,2019-05-05
0.7232966731,2019-05-05
0.7752404874,2019-05-10
0.7970588639,2019-05-10
0.7373180906,2019-05-10
0.7869362658,2019-05-10
0.9183777332,2019-05-15
0.9567364629,2019-05-15
0.898832383,2019-05-15
0.9539186327,2019-05-15
0.7426495163,2019-05-20
0.7702556424,2019-05-20
0.6890963005,2019-05-20
0.7623083935,2019-05-20
0.721632662,2019-05-25
0.7418350101,2019-05-25
0.6688588649,2019-05-25
0.7363906876,2019-05-25
0.7360231743,2019-05-30
0.7539087393,2019-05-30
0.6939178232,2019-05-30
0.7482175492,2019-05-30
0.7827068018,2019-06-04
0.7992679155,2019-06-04
0.7433067408,2019-06-04
0.7906367496,2019-06-04
0.7573756905,2019-06-09
0.7688532754,2019-06-09
0.7238205361,2019-06-09
0.7566888315,2019-06-09
0.7494705904,2019-06-14
0.7585663244,2019-06-14
0.7107297232,2019-06-14
0.7497876993,2019-06-14
0.7599846504,2019-06-19
0.738135045,2019-06-19
0.7262791135,2019-06-19
0.7247642284,2019-06-19
0.9999134135,2019-06-24
1.019993844,2019-06-24
1.000059653,2019-06-24
0.9970025056,2019-06-24
0.7794092642,2019-06-29
0.7644262908,2019-06-29
0.7368629218,2019-06-29
0.7475324364,2019-06-29
