NDWI,date
-0.3294194971,2018-09-12
-0.220294692,2018-09-17
-0.3115302844,2018-09-17
-0.2267998398,2018-09-17
-0.2995541617,2018-09-17
0.003481217474,2018-09-22
0.01530232811,2018-09-22
0.012080545,2018-09-22
0.01879002382,2018-09-22
-0.2467751651,2018-09-27
-0.3096944563,2018-09-27
-0.2434918829,2018-09-27
-0.2935145585,2018-09-27
-0.2541041794,2018-10-02
-0.3050211943,2018-10-02
-0.2553656752,2018-10-02
-0.2888482268,2018-10-02
-0.2320438864,2018-10-07
-0.2811968068,2018-10-07
-0.2351143384,2018-10-07
-0.2637912729,2018-10-07
-0.2302920909,2018-10-12
-0.280353787,2018-10-12
-0.2354437824,2018-10-12
-0.2681170764,2018-10-12
-0.2135523308,2018-10-17
-0.2327897152,2018-10-17
-0.2070394435,2018-10-17
-0.2180556835,2018-10-17
-0.2035772835,2018-10-22
-0.2186571584,2018-10-22
-0.2068202994,2018-10-22
-0.2070402679,2018-10-22
-0.1034134119,2018-10-27
-0.1031757638,2018-10-27
-0.09352731279,2018-10-27
-0.0986920262,2018-10-27
-0.08086689402,2018-11-01
-0.07709777871,2018-11-01
-0.0682325668,2018-11-01
-0.09097913686,2018-11-01
-0.2130917317,2018-11-06
-0.2086418027,2018-11-06
-0.2011346973,2018-11-06
-0.2098385069,2018-11-06
-0.1454592387,2018-11-11
-0.09066711788,2018-11-11
-0.1175468821,2018-11-11
-0.08969623564,2018-11-11
-0.2048407397,2018-11-16
-0.1790159718,2018-11-16
-0.1865443334,2018-11-16
-0.1891529573,2018-11-16
-0.1628371141,2018-11-21
-0.1374633163,2018-11-21
-0.137766649,2018-11-21
-0.1489659992,2018-11-21
-0.1770884601,2018-11-26
-0.1395638828,2018-11-26
-0.1436222599,2018-11-26
-0.1476900534,2018-11-26
-0.2036050491,2018-12-01
-0.1619854617,2018-12-01
-0.162993379,2018-12-01
-0.172099591,2018-12-01
-0.1439667905,2018-12-06
-0.1297841519,2018-12-06
-0.09260166515,2018-12-06
-0.1434807402,2018-12-06
-0.03273932895,2018-12-11
-0.01986275316,2018-12-11
0.003206562248,2018-12-11
-0.03233388193,2018-12-11
-0.2178526121,2018-12-16
-0.2023001616,2018-12-16
-0.1508258129,2018-12-16
-0.2108558849,2018-12-16
-0.1811514833,2018-12-21
-0.1754898339,2018-12-21
-0.113676206,2018-12-21
-0.1851326733,2018-12-21
-0.186216105,2018-12-26
-0.1959200422,2018-12-26
-0.1113393664,2018-12-26
-0.2018028415,2018-12-26
-0.1783059533,2018-12-31
-0.1979583747,2018-12-31
-0.1070873434,2018-12-31
-0.2120076537,2018-12-31
-0.1149122327,2019-01-05
-0.1084910332,2019-01-05
-0.05579704986,2019-01-05
-0.1208255353,2019-01-05
-0.202818625,2019-01-10
-0.2300850859,2019-01-10
-0.1309739729,2019-01-10
-0.2237803877,2019-01-10
-0.1008641901,2019-01-15
-0.1129909553,2019-01-15
-0.07762660035,2019-01-15
-0.1255800338,2019-01-15
-0.2038679949,2019-01-20
-0.2484550027,2019-01-20
-0.1139968489,2019-01-20
-0.2571008903,2019-01-20
-0.1300281446,2019-01-25
-0.1809960115,2019-01-25
-0.1016598051,2019-01-25
-0.1984994586,2019-01-25
-0.1902849677,2019-01-30
-0.213208866,2019-01-30
-0.1172442716,2019-01-30
-0.2150795317,2019-01-30
-0.1217627701,2019-02-04
-0.1612603308,2019-02-04
-0.1357675582,2019-02-04
-0.2116094602,2019-02-04
-0.279568545,2019-02-09
-0.3651030838,2019-02-09
-0.1976003056,2019-02-09
-0.37245671,2019-02-09
-0.03072076609,2019-02-14
-0.03420169306,2019-02-14
-0.02838695824,2019-02-14
-0.03522240906,2019-02-14
-0.169278068,2019-02-19
-0.1191798255,2019-02-19
-0.09200298336,2019-02-19
-0.1150592328,2019-02-19
-0.2699704659,2019-02-24
-0.3707194115,2019-02-24
-0.1871751869,2019-02-24
-0.3422049453,2019-02-24
-0.2913378551,2019-03-01
-0.3852893463,2019-03-01
-0.216960808,2019-03-01
-0.3901687718,2019-03-01
-0.2737527041,2019-03-06
-0.3712072904,2019-03-06
-0.203770849,2019-03-06
-0.3737514931,2019-03-06
-0.2192284813,2019-03-11
-0.3013787803,2019-03-11
-0.1623843034,2019-03-11
-0.2982343871,2019-03-11
-0.2560069999,2019-03-16
-0.3276764417,2019-03-16
-0.2047818723,2019-03-16
-0.3342042962,2019-03-16
-0.2079160896,2019-03-21
-0.2632111931,2019-03-21
-0.1520968478,2019-03-21
-0.2680140951,2019-03-21
-0.251870035,2019-03-26
-0.3291557327,2019-03-26
-0.2154406801,2019-03-26
-0.3268184508,2019-03-26
-0.2556007854,2019-03-31
-0.3193492554,2019-03-31
-0.2229142878,2019-03-31
-0.3169761519,2019-03-31
-0.1876141483,2019-04-05
-0.2205843279,2019-04-05
-0.1685155617,2019-04-05
-0.2180801357,2019-04-05
-0.1968925272,2019-04-10
-0.2184664817,2019-04-10
-0.1950299572,2019-04-10
-0.2200377168,2019-04-10
-0.2059439831,2019-04-15
-0.2263966117,2019-04-15
-0.2056126581,2019-04-15
-0.2279039778,2019-04-15
-0.1824776371,2019-04-20
-0.1811304899,2019-04-20
-0.1764406529,2019-04-20
-0.1696657838,2019-04-20
-0.1539925497,2019-04-25
-0.1646376629,2019-04-25
-0.1481369929,2019-04-25
-0.1626333477,2019-04-25
-0.1772089793,2019-04-30
-0.1853460232,2019-04-30
-0.1768192414,2019-04-30
-0.1868978141,2019-04-30
-0.2131979532,2019-05-05
-0.2166965406,2019-05-05
-0.217303455,2019-05-05
-0.220386245,2019-05-05
-0.1658887658,2019-05-10
-0.1551782978,2019-05-10
-0.1702775614,2019-05-10
-0.1607396285,2019-05-10
-0.05168126149,2019-05-15
-0.03489305166,2019-05-15
-0.05802142724,2019-05-15
-0.03618780368,2019-05-15
-0.1817647416,2019-05-20
-0.1650801323,2019-05-20
-0.1993357311,2019-05-20
-0.1675785661,2019-05-20
-0.2047544339,2019-05-25
-0.1917904247,2019-05-25
-0.2218061456,2019-05-25
-0.1928464316,2019-05-25
-0.1935047412,2019-05-30
-0.1852761817,2019-05-30
-0.2013573654,2019-05-30
-0.1848031353,2019-05-30
-0.154867258,2019-06-04
-0.1448652098,2019-06-04
-0.1625773038,2019-06-04
-0.1479592822,2019-06-04
-0.177614752,2019-06-09
-0.1697377709,2019-06-09
-0.1799937739,2019-06-09
-0.1754178707,2019-06-09
-0.1902727436,2019-06-14
-0.1827169502,2019-06-14
-0.1984876285,2019-06-14
-0.1842843383,2019-06-14
-0.1684299936,2019-06-19
-0.1702542482,2019-06-19
-0.1704819922,2019-06-19
-0.1761131068,2019-06-19
-0.01958549734,2019-06-24
-0.01024526666,2019-06-24
-0.01664550589,2019-06-24
-0.01730776179,2019-06-24
-0.1609122956,2019-06-29
-0.1650278343,2019-06-29
-0.1710202317,2019-06-29
-0.1709170763,2019-06-29
-7.76E-05,2019-07-04
4.45E-04,2019-07-04
-0.01009328908,2019-07-04
-0.01114501983,2019-07-04
-0.01733695044,2019-07-09
-0.025736875,2019-07-09
-0.003583375814,2019-07-09
-0.01748843553,2019-07-09
-0.103130576,2019-07-14
-0.1039515714,2019-07-14
-0.1029033572,2019-07-14
-0.1057099027,2019-07-14
-0.08511465832,2019-07-19
-0.04441539362,2019-07-19
-0.09123244438,2019-07-19
-0.03247832364,2019-07-19
-0.06512340538,2019-07-24
-0.0586371532,2019-07-24
-0.07344537925,2019-07-24
-0.05641694088,2019-07-24
-0.06849770587,2019-07-29
-0.1363115811,2019-07-29
-0.06529108543,2019-07-29
-0.144809557,2019-07-29
-0.02021710039,2019-08-03
-0.01671364806,2019-08-03
-0.02279748541,2019-08-03
-0.01872576418,2019-08-03
-0.2509157211,2019-08-08
-0.2631599799,2019-08-08
-0.2651438326,2019-08-08
-0.2640155931,2019-08-08
-0.08807779474,2019-08-13
-0.1846005471,2019-08-13
-0.06224387267,2019-08-13
-0.1804866669,2019-08-13
-0.03004008729,2019-08-18
-0.01768356994,2019-08-18
-0.03278533136,2019-08-18
-0.01738147197,2019-08-18
-0.2327270221,2019-08-23
-0.2574360869,2019-08-23
-0.1697861451,2019-08-23
-0.2427055655,2019-08-23
-0.1709308778,2019-08-28
-0.1919381837,2019-08-28
-0.1750546384,2019-08-28
-0.2025809965,2019-08-28
-0.1768693584,2019-09-02
-0.2628912869,2019-09-02
-0.1688984176,2019-09-02
-0.2658595997,2019-09-02
-0.1533158087,2019-09-07
-0.1975292233,2019-09-07
-0.1161742498,2019-09-07
-0.2016640945,2019-09-07
-0.1557814923,2019-09-12
-0.1763383259,2019-09-12
-0.1292278619,2019-09-12
-0.1845498182,2019-09-12
-0.1460943553,2019-09-17
-0.253848809,2019-09-17
-0.1630725727,2019-09-17
-0.2764472659,2019-09-17
-0.06824198935,2019-09-22
-0.1196550662,2019-09-22
-0.04634760872,2019-09-22
-0.07513192623,2019-09-22
-0.04858018161,2019-09-27
-0.2483819047,2019-09-27
-0.05630675265,2019-09-27
-0.2462411522,2019-09-27
-0.1251414088,2019-10-02
-0.1903970122,2019-10-02
-0.1017712151,2019-10-02
-0.1787412195,2019-10-02
-0.1395714199,2019-10-07
-0.2014951576,2019-10-07
-0.1269573027,2019-10-07
-0.1930844414,2019-10-07
-0.1936389792,2019-10-12
-0.2137579492,2019-10-12
-0.1934983659,2019-10-12
-0.2037994714,2019-10-12
-0.1402592162,2019-10-17
-0.1461440803,2019-10-17
-0.1367438135,2019-10-17
-0.1481811157,2019-10-17
-0.125889563,2019-10-22
-0.1789514608,2019-10-22
-0.1493229642,2019-10-22
-0.1474951168,2019-10-22
-0.14994222,2019-10-27
-0.1473295064,2019-10-27
-0.1424737683,2019-10-27
-0.136599055,2019-10-27
-0.014236619,2019-11-01
-0.03082283525,2019-11-01
-0.01669230891,2019-11-01
-0.03570088501,2019-11-01
-0.1636432305,2019-11-06
-0.1091917043,2019-11-06
-0.1425372925,2019-11-06
-0.09232624677,2019-11-06
-0.05481278449,2019-11-11
-0.05404654857,2019-11-11
-0.04135858036,2019-11-11
-0.05010160175,2019-11-11
-0.1358771603,2019-11-16
-0.1310299152,2019-11-16
-0.1400937285,2019-11-16
-0.1249593271,2019-11-16
-0.0564835636,2019-11-21
-0.08219813384,2019-11-21
-0.05162672197,2019-11-21
-0.05943965244,2019-11-21
-0.06410400838,2019-11-26
-0.03311086629,2019-11-26
-0.04528105143,2019-11-26
-0.04292895532,2019-11-26
-0.1621196305,2019-12-01
-0.1369115399,2019-12-01
-0.1450191783,2019-12-01
-0.1448126183,2019-12-01
-0.1202237113,2019-12-06
-0.09989091568,2019-12-06
-0.09890491283,2019-12-06
-0.1145462882,2019-12-06
-0.04237860159,2019-12-11
-0.02599189247,2019-12-11
-0.03637030366,2019-12-11
-0.0357175313,2019-12-11
-0.03701929547,2019-12-16
-0.03426654228,2019-12-16
-0.03465017974,2019-12-16
-0.0335872186,2019-12-16
-0.02981366824,2019-12-21
-0.03752282103,2019-12-21
-0.01821277623,2019-12-21
-0.04119670233,2019-12-21
-0.06250829922,2019-12-26
-0.061655341,2019-12-26
-0.05930211482,2019-12-26
-0.06284041682,2019-12-26
-0.101652922,2019-12-31
-0.08876769302,2019-12-31
-0.07886129156,2019-12-31
-0.1054756953,2019-12-31
-0.160663068,2020-01-05
-0.1846780873,2020-01-05
-0.1064040001,2020-01-05
-0.2003134533,2020-01-05
-0.1531465511,2020-01-10
-0.218975923,2020-01-10
-0.1423450762,2020-01-10
-0.234896972,2020-01-10
-0.1716482927,2020-01-15
-0.2324555242,2020-01-15
-0.1153090196,2020-01-15
-0.2391941859,2020-01-15
-0.04967570783,2020-01-20
-0.08965257735,2020-01-20
-0.04177086953,2020-01-20
-0.08340635761,2020-01-20
-0.2408630889,2020-01-25
-0.2798948738,2020-01-25
-0.15440305,2020-01-25
-0.2788600852,2020-01-25
-0.2037351645,2020-01-30
-0.3175345001,2020-01-30
-0.1626667961,2020-01-30
-0.3266263143,2020-01-30
-0.1902566648,2020-02-04
-0.1642858991,2020-02-04
-0.1010595977,2020-02-04
-0.183916874,2020-02-04
-0.1889730953,2020-02-09
-0.2702602973,2020-02-09
-0.1344874647,2020-02-09
-0.3086983582,2020-02-09
-0.2860355694,2020-02-14
-0.3651223361,2020-02-14
-0.1993306215,2020-02-14
-0.3764055169,2020-02-14
-0.1594586797,2020-02-19
-0.3038076826,2020-02-19
-0.1150026296,2020-02-19
-0.3008193403,2020-02-19
-0.2232039305,2020-02-24
-0.3122420013,2020-02-24
-0.1597548781,2020-02-24
-0.3322986891,2020-02-24
-0.1075463662,2020-02-29
-0.1016151054,2020-02-29
-0.09213386974,2020-02-29
-0.1590216553,2020-02-29
-0.1944482998,2020-03-05
-0.2522463162,2020-03-05
-0.1068796727,2020-03-05
-0.2267310302,2020-03-05
