DOM,date
1.102253212,2018-10-17
1.068813602,2018-10-17
1.087760102,2018-10-22
1.086664307,2018-10-22
1.11771589,2018-10-22
1.086877485,2018-10-22
1.132752465,2018-10-27
1.133793899,2018-10-27
1.146386607,2018-10-27
1.133900855,2018-10-27
1.132761776,2018-11-01
1.138697903,2018-11-01
1.151814068,2018-11-01
1.137652015,2018-11-01
1.093796498,2018-11-06
1.086079983,2018-11-06
1.128872252,2018-11-06
1.08424571,2018-11-06
1.107146456,2018-11-11
1.110808216,2018-11-11
1.132543763,2018-11-11
1.109701566,2018-11-11
1.110085486,2018-11-16
1.098628931,2018-11-16
1.145538997,2018-11-16
1.092320729,2018-11-16
1.125613499,2018-11-21
1.113707393,2018-11-21
1.149927383,2018-11-21
1.108473969,2018-11-21
1.125044113,2018-11-26
1.116122534,2018-11-26
1.151796373,2018-11-26
1.11427299,2018-11-26
1.11695432,2018-12-01
1.10729417,2018-12-01
1.147724352,2018-12-01
1.104131808,2018-12-01
1.140654665,2018-12-06
1.140070573,2018-12-06
1.157740233,2018-12-06
1.137813939,2018-12-06
1.146712452,2018-12-11
1.141455036,2018-12-11
1.147371652,2018-12-11
1.14189691,2018-12-11
1.131098897,2018-12-16
1.12626814,2018-12-16
1.163576589,2018-12-16
1.125634222,2018-12-16
1.140437996,2018-12-21
1.132931618,2018-12-21
1.15947957,2018-12-21
1.131713552,2018-12-21
1.142215426,2018-12-26
1.134122524,2018-12-26
1.159558042,2018-12-26
1.135289115,2018-12-26
1.138078786,2018-12-31
1.129203464,2018-12-31
1.156979069,2018-12-31
1.128120648,2018-12-31
1.151939139,2019-01-05
1.149436267,2019-01-05
1.166650205,2019-01-05
1.151548483,2019-01-05
1.136747487,2019-01-10
1.123485798,2019-01-10
1.155258949,2019-01-10
1.124129371,2019-01-10
1.082458371,2019-01-15
1.084363852,2019-01-15
1.095061779,2019-01-15
1.088643227,2019-01-15
1.13976026,2019-01-20
1.13568322,2019-01-20
1.153496792,2019-01-20
1.13789765,2019-01-20
1.151374494,2019-01-25
1.122066851,2019-01-25
1.180148186,2019-01-25
1.12351614,2019-01-25
1.125394022,2019-01-30
1.125095863,2019-01-30
1.128220167,2019-01-30
1.128791429,2019-01-30
1.10838516,2019-02-04
1.101144135,2019-02-04
1.161331376,2019-02-04
1.125410272,2019-02-04
1.122565767,2019-02-09
1.122327189,2019-02-09
1.137113047,2019-02-09
1.118015619,2019-02-09
1.054553937,2019-02-14
1.052412089,2019-02-14
1.057001033,2019-02-14
1.050626524,2019-02-14
1.116794185,2019-02-19
1.069074923,2019-02-19
1.121524557,2019-02-19
1.064037273,2019-02-19
1.113195663,2019-02-24
1.112774939,2019-02-24
1.115784738,2019-02-24
1.122636053,2019-02-24
1.101309073,2019-03-01
1.101083505,2019-03-01
1.109577735,2019-03-01
1.099130279,2019-03-01
1.103840469,2019-03-06
1.107492868,2019-03-06
1.112368623,2019-03-06
1.108493923,2019-03-06
1.089503732,2019-03-11
1.090521312,2019-03-11
1.097622766,2019-03-11
1.090014217,2019-03-11
1.087205363,2019-03-16
1.111623544,2019-03-16
1.093946342,2019-03-16
1.104686368,2019-03-16
1.095834502,2019-03-21
1.089273388,2019-03-21
1.111760461,2019-03-21
1.089273705,2019-03-21
1.06340875,2019-03-26
1.070190608,2019-03-26
1.07705813,2019-03-26
1.069747848,2019-03-26
1.034990409,2019-03-31
1.036656036,2019-03-31
1.054006198,2019-03-31
1.035360311,2019-03-31
1.055110713,2019-04-05
1.063121869,2019-04-05
1.074547641,2019-04-05
1.065403975,2019-04-05
1.030957464,2019-04-10
1.036915326,2019-04-10
1.046424684,2019-04-10
1.03153557,2019-04-10
1.015302686,2019-04-15
1.01745269,2019-04-15
1.036491959,2019-04-15
1.014556273,2019-04-15
1.043006801,2019-04-20
1.052286842,2019-04-20
1.066779779,2019-04-20
1.056005977,2019-04-20
1.037743922,2019-04-25
1.036625234,2019-04-25
1.060617268,2019-04-25
1.040272305,2019-04-25
1.011722136,2019-04-30
1.009801108,2019-04-30
1.034743517,2019-04-30
1.011350529,2019-04-30
1.005926964,2019-05-05
0.9937341198,2019-05-05
1.036067298,2019-05-05
0.9915878515,2019-05-05
1.002638452,2019-05-10
1.012752782,2019-05-10
1.023557387,2019-05-10
1.010355115,2019-05-10
1.064200336,2019-05-15
1.059613428,2019-05-15
1.067417891,2019-05-15
1.060089745,2019-05-15
1.013417387,2019-05-20
1.021095618,2019-05-20
1.036167293,2019-05-20
1.021816492,2019-05-20
0.9847737264,2019-05-25
0.983779955,2019-05-25
1.015135755,2019-05-25
0.9857729934,2019-05-25
0.9935072131,2019-05-30
0.9845969997,2019-05-30
1.022247888,2019-05-30
0.9892705899,2019-05-30
1.011011553,2019-06-04
1.007071192,2019-06-04
1.035732616,2019-06-04
1.007727054,2019-06-04
1.009054844,2019-06-09
1.007805318,2019-06-09
1.03909448,2019-06-09
1.004807978,2019-06-09
0.9819862939,2019-06-14
0.979940521,2019-06-14
1.007103081,2019-06-14
0.9837460497,2019-06-14
0.9987285503,2019-06-19
1.014024324,2019-06-19
1.029786168,2019-06-19
1.012188377,2019-06-19
1.052652132,2019-06-24
1.050339856,2019-06-24
1.058289944,2019-06-24
1.056084931,2019-06-24
0.9864359149,2019-06-29
0.9841129862,2019-06-29
1.010942744,2019-06-29
0.9853081704,2019-06-29
1.059594803,2019-07-04
1.047225265,2019-07-04
1.073601446,2019-07-04
1.050703533,2019-07-04
1.048066268,2019-07-09
1.049815034,2019-07-09
1.045966106,2019-07-09
1.054914823,2019-07-09
0.9982432352,2019-07-14
1.0013907,2019-07-14
1.009541394,2019-07-14
1.002073391,2019-07-14
1.059649572,2019-07-19
1.070456868,2019-07-19
1.070699405,2019-07-19
1.058758235,2019-07-19
1.064915663,2019-07-24
1.076671388,2019-07-24
1.074473941,2019-07-24
1.072549741,2019-07-24
1.057415979,2019-07-29
1.056881324,2019-07-29
1.060603625,2019-07-29
1.056916855,2019-07-29
1.054925797,2019-08-03
1.054507127,2019-08-03
1.044511609,2019-08-03
1.045220141,2019-08-03
1.028349094,2019-08-08
1.035742264,2019-08-08
1.036986347,2019-08-08
1.035148282,2019-08-08
1.077464154,2019-08-13
1.082456969,2019-08-13
1.068457472,2019-08-13
1.085048386,2019-08-13
1.061496564,2019-08-18
1.062824913,2019-08-18
1.05650443,2019-08-18
1.062418666,2019-08-18
1.047409215,2019-08-23
1.070923172,2019-08-23
1.086467894,2019-08-23
1.075058122,2019-08-23
1.078131117,2019-08-28
1.093595258,2019-08-28
1.091623124,2019-08-28
1.090296056,2019-08-28
1.090754591,2019-09-02
1.084309824,2019-09-02
1.10423595,2019-09-02
1.08312652,2019-09-02
1.095591464,2019-09-07
1.095649639,2019-09-07
1.101564886,2019-09-07
1.094245651,2019-09-07
1.096415126,2019-09-12
1.103912269,2019-09-12
1.111000908,2019-09-12
1.104352932,2019-09-12
1.063809181,2019-09-17
1.078061554,2019-09-17
1.085260802,2019-09-17
1.07285749,2019-09-17
1.082246198,2019-09-22
1.083529204,2019-09-22
1.072316234,2019-09-22
1.071480861,2019-09-22
1.055163656,2019-09-27
1.070505452,2019-09-27
1.063733192,2019-09-27
1.070659981,2019-09-27
1.100300545,2019-10-02
1.100714221,2019-10-02
1.117847438,2019-10-02
1.093842271,2019-10-02
1.075198835,2019-10-07
1.075895054,2019-10-07
1.089771091,2019-10-07
1.071428797,2019-10-07
1.09529398,2019-10-12
1.096645692,2019-10-12
1.122523632,2019-10-12
1.095856619,2019-10-12
1.109841464,2019-10-17
1.116106558,2019-10-17
1.135120048,2019-10-17
1.114377596,2019-10-17
1.10839854,2019-10-22
1.165630727,2019-10-22
1.110113211,2019-10-22
1.190026092,2019-10-22
1.112871329,2019-10-27
1.111425332,2019-10-27
1.139104637,2019-10-27
1.11383216,2019-10-27
1.104569205,2019-11-01
1.097915351,2019-11-01
1.112686014,2019-11-01
1.09788407,2019-11-01
1.105755194,2019-11-06
1.117327033,2019-11-06
1.13791433,2019-11-06
1.119424805,2019-11-06
1.127154141,2019-11-11
1.127087264,2019-11-11
1.132473629,2019-11-11
1.125638181,2019-11-11
1.123326328,2019-11-16
1.107040069,2019-11-16
1.146517376,2019-11-16
1.106815962,2019-11-16
