Turbidity,date
0.01713298343,2018-09-22
0.01927847903,2018-09-22
0.01766467098,2018-09-22
0.02009014535,2018-09-22
-0.06052443642,2018-09-27
-0.08868320527,2018-09-27
-0.06803500149,2018-09-27
-0.08300820004,2018-09-27
-0.04208783512,2018-10-02
-0.06400847345,2018-10-02
-0.05818589808,2018-10-02
-0.05814812578,2018-10-02
-0.02916111559,2018-10-07
-0.04405474649,2018-10-07
-0.04632142665,2018-10-07
-0.03859903333,2018-10-07
-0.02450469037,2018-10-12
-0.03679540405,2018-10-12
-0.04460171937,2018-10-12
-0.03313930745,2018-10-12
-0.01654575023,2018-10-17
-0.02171005967,2018-10-17
-0.03649174256,2018-10-17
-0.02001636294,2018-10-17
-0.01548685603,2018-10-22
-0.01879174508,2018-10-22
-0.03674847232,2018-10-22
-0.02115758923,2018-10-22
-0.02634383213,2018-10-27
-0.02732510338,2018-10-27
-0.03791090175,2018-10-27
-0.03071997708,2018-10-27
-0.02944714083,2018-11-01
-0.02771265809,2018-11-01
-0.04011307502,2018-11-01
-0.03315344313,2018-11-01
-0.01813981436,2018-11-06
-0.006481183244,2018-11-06
-0.03407319866,2018-11-06
-0.01676419758,2018-11-06
-0.02412662723,2018-11-11
-0.01430511817,2018-11-11
-0.0331561033,2018-11-11
-0.02139265276,2018-11-11
-0.03970878405,2018-11-16
-0.01162258034,2018-11-16
-0.04936927119,2018-11-16
-0.02331102649,2018-11-16
-0.0422112521,2018-11-21
-0.0170592522,2018-11-21
-0.04622263677,2018-11-21
-0.02557343248,2018-11-21
-0.04159378027,2018-11-26
-0.01447393715,2018-11-26
-0.0427372082,2018-11-26
-0.02278896145,2018-11-26
-0.04175261728,2018-12-01
-0.01406776644,2018-12-01
-0.03855136232,2018-12-01
-0.02335539081,2018-12-01
-0.039094438,2018-12-06
-0.0247076804,2018-12-06
-0.03242041855,2018-12-06
-0.03236558175,2018-12-06
-0.02922712552,2018-12-11
-0.02691911427,2018-12-11
-0.0215086101,2018-12-11
-0.03032093978,2018-12-11
-0.06774173389,2018-12-16
-0.05777617593,2018-12-16
-0.05100336565,2018-12-16
-0.06486215469,2018-12-16
-0.0615123848,2018-12-21
-0.06005768471,2018-12-21
-0.04541618933,2018-12-21
-0.06492577903,2018-12-21
-0.06295634041,2018-12-26
-0.06694718305,2018-12-26
